ENTREZID	SYMBOL
57157	PHTF2
58489	ABHD17C
6303	SAT1
10905	MAN1A2
445571	ZNG1C
3491	CCN1
3796	KIF2A
54492	NEURL1B
10111	RAD50
29094	LGALSL
2768	GNA12
7353	UFD1
1475	CSTA
348235	SKA2
285973	ATG9B
1825	DSC3
7398	USP1
26586	CKAP2
642587	MIR205HG
54933	RHBDL2
344595	DUBR
81627	TRMT1L
7409	VAV1
602	BCL3
159195	USP54
57476	GRAMD1B
7078	TIMP3
10447	FAM3C
64220	STRA6
57182	ANKRD50
79180	EFHD2
8491	MAP4K3
890	CCNA2
10131	TRAP1
51029	DESI2
55057	CRYBG2
80031	SEMA6D
151636	DTX3L
160777	CCDC60
54708	MARCHF5
8581	LY6D
4254	KITLG
23505	TMEM131
6309	SC5D
56623	INPP5E
9723	SEMA3E
57414	RHBDD2
546	ATRX
10217	CTDSPL
9180	OSMR
54869	EPS8L1
3437	IFIT3
57062	DDX24
1503	CTPS1
1184	CLCN5
81875	ISG20L2
3038	HAS3
79633	FAT4
51361	HOOK1
8704	B4GALT2
7348	UPK1B
10509	SEMA4B
8804	CREG1
6392	SDHD
7283	TUBG1
80256	ATOSB
6385	SDC4
8482	SEMA7A
11138	TBC1D8
6318	SERPINB4
5905	RANGAP1
285195	SLC9A9
7841	MOGS
4486	MST1R
55719	SLF2
11221	DUSP10
51301	GCNT4
8424	BBOX1
89886	SLAMF9
3294	HSD17B2
23041	MON2
84859	LRCH3
50506	DUOX2
91947	ARRDC4
1063	CENPF
79080	CCDC86
84337	ELOF1
65009	NDRG4
10818	FRS2
10314	LANCL1
55959	SULF2
285590	SH3PXD2B
59084	ENPP5
6947	TCN1
10105	PPIF
2997	GYS1
91734	IDI2
60436	TGIF2
54676	GTPBP2
60496	AASDHPPT
3276	PRMT1
51491	NOP16
23768	FLRT2
28988	DBNL
200942	KLHDC8B
5646	PRSS3
4501	MT1X
56916	SMARCAD1
79919	MAB21L4
55914	ERBIN
116496	NIBAN1
6195	RPS6KA1
105371414	LOC105371414
408050	NOMO3
1843	DUSP1
7447	VSNL1
197259	MLKL
117195	MRGPRX3
10856	RUVBL2
84918	LRP11
120071	LARGE2
54981	NMRK1
2589	GALNT1
4509	ATP8
2335	FN1
96459	FNIP1
4794	NFKBIE
51056	LAP3
27071	DAPP1
23586	RIGI
9734	HDAC9
341346	SMCO2
55450	CAMK2N1
55323	LARP6
7706	TRIM25
8666	EIF3G
154064	RAET1L
4090	SMAD5
137075	CLDN23
3157	HMGCS1
79589	RNF128
23508	TTC9
9136	RRP9
3875	KRT18
1130	LYST
8869	ST3GAL5
9703	BLTP2
3149	HMGB3
6574	SLC20A1
55092	TMEM51
1604	CD55
9852	EPM2AIP1
4067	LYN
5983	RFC3
638	BIK
7284	TUFM
91057	CCDC34
101669762	BLACAT1
5538	PPT1
7837	PXDN
6133	RPL9
26499	PLEK2
55326	AGPAT5
10630	PDPN
91612	CHURC1
6400	SEL1L
8793	TNFRSF10D
283131	NEAT1
6283	S100A12
388561	ZNF761
85462	FHDC1
255743	NPNT
114299	NA
65108	MARCKSL1
92312	MEX3A
81848	SPRY4
55249	YY1AP1
55872	PBK
159371	SLC35G1
92154	MTSS2
6734	SRPRA
272	AMPD3
653145	ANXA8
55700	MAP7D1
3801	KIFC3
133418	EMB
8829	NRP1
253782	CERS6
55101	DMAC2
10150	MBNL2
255738	PCSK9
6342	SCP2
283463	MUC19
1362	CPD
151473	SLC16A14
6843	VAMP1
468	ATF4
224	ALDH3A2
956	ENTPD3
80896	NPL
5036	PA2G4
4168	MCF2
51647	CIAO2B
64651	CSRNP1
441263	DTX2P1-UPK3BP1-PMS2P11
130827	TMEM182
25975	EGFL6
84769	MPV17L2
5518	PPP2R1A
4720	NDUFS2
857	CAV1
57451	TENM2
80342	TRAF3IP3
79876	UBA5
2222	FDFT1
100505839	SH3PXD2A-AS1
3964	LGALS8
567	B2M
9325	TRIP4
7347	UCHL3
26472	PPP1R14B
4478	MSN
57823	SLAMF7
997	CDC34
81562	LMAN2L
9130	FAM50A
6317	SERPINB3
10513	APPBP2
57169	ZNFX1
83638	C11orf68
9076	CLDN1
55707	NECAP2
10499	NCOA2
8797	TNFRSF10A
7126	TNFAIP1
55320	MIS18BP1
219285	SAMD9L
55032	SLC35A5
27429	HTRA2
216	ALDH1A1
27076	LYPD3
84869	CBR4
30061	SLC40A1
23163	GGA3
92255	LMBRD2
100131726	FAM83A-AS1
54463	RETREG1
57834	CYP4F11
817	CAMK2D
54839	LRRC49
83394	PITPNM3
6793	STK10
51246	SHISA5
10626	TRIM16
79901	CYBRD1
79083	MLPH
54873	PALMD
8503	PIK3R3
79017	GGCT
10891	PPARGC1A
394	ARHGAP5
2549	GAB1
55022	PID1
23406	COTL1
26471	NUPR1
4774	NFIA
23314	SATB2
150737	TTC30B
23345	SYNE1
54790	TET2
92714	ARRDC1
23530	NNT
3566	IL4R
9166	EBAG9
2745	GLRX
10084	PQBP1
150967	LINC01963
81892	SLIRP
5295	PIK3R1
26225	ARL5A
55667	DENND4C
80306	MED28
54507	ADAMTSL4
57590	WDFY1
162394	SLFN5
50862	RNF141
2702	GJA5
23506	BICRAL
4232	MEST
51552	RAB14
2314	FLII
57337	SENP7
80142	PTGES2
5083	PAX9
197258	FCSK
642273	FAM110C
5595	MAPK3
7187	TRAF3
65249	ZSWIM4
1896	EDA
9070	ASH2L
3643	INSR
2118	ETV4
64834	ELOVL1
9416	DDX23
57683	ZDBF2
54441	STAG3L1
57617	VPS18
286207	CFAP157
51601	LIPT1
55796	MBNL3
344148	NCKAP5
79866	BORA
23169	SLC35D1
54537	SHLD2
151354	LRATD1
57655	GRAMD1A
114769	CARD16
5166	PDK4
25906	ANAPC15
100507062	PSMD6-AS2
6182	MRPL12
378	ARF4
57567	ZNF319
57223	PPP4R3B
9488	PIGB
23078	VWA8
51434	ANAPC7
83544	DNAL1
29074	MRPL18
285761	DCBLD1
3759	KCNJ2
8260	NAA10
79677	SMC6
54361	WNT4
81558	FAM117A
327	APEH
55035	NOL8
57082	KNL1
5129	CDK18
9797	TATDN2
4528	MTIF2
5507	PPP1R3C
170959	ZNF431
2783	GNB2
10607	TBL3
5805	PTS
4205	MEF2A
343990	CRACDL
644815	FAM83G
7514	XPO1
145482	PTGR2
80255	SLC35F5
226	ALDOA
5567	PRKACB
84105	PCBD2
57609	DIP2B
389741	GLIDR
4286	MITF
286262	TPRN
79810	PTCD2
9949	AMMECR1
55196	RESF1
285315	C3orf33
1829	DSG2
1830	DSG3
1490	CCN2
120227	CYP2R1
7991	TUSC3
391	RHOG
80218	NAA50
10018	BCL2L11
83758	RBP5
5971	RELB
10129	FRY
8697	CDC23
55030	FBXO34
165215	FAM171B
11224	RPL35
9748	SLK
79156	PLEKHF1
10170	DHRS9
9990	SLC12A6
27243	CHMP2A
343578	ARHGAP40
11135	CDC42EP1
64411	ARAP3
22836	RHOBTB3
5688	PSMA7
51280	GOLM1
57326	PBXIP1
283687	ST20-AS1
31	ACACA
114803	MYSM1
6924	ELOA
6773	STAT2
2769	GNA15
440104	TMEM198B
211	ALAS1
7784	ZP3
4714	NDUFB8
54863	TOR4A
85015	USP45
64288	ZSCAN31
7316	UBC
64747	MFSD1
348654	GEN1
7586	ZKSCAN1
55243	KIRREL1
51449	PCYOX1
51773	RSF1
7041	TGFB1I1
4430	MYO1B
23036	ZNF292
79366	HMGN5
57515	SERINC1
22861	NLRP1
387521	PEDS1
80824	DUSP16
81502	HM13
84899	TMTC4
3832	KIF11
123228	SENP8
56927	GPR108
83594	NUDT12
192666	KRT24
9585	KIF20B
22984	PDCD11
3939	LDHA
51720	UIMC1
100507217	CHASERR
10300	KATNB1
57234	LINC00869
10966	RAB40B
29068	ZBTB44
5471	PPAT
10682	EBP
3097	HIVEP2
309	ANXA6
127018	LYPLAL1
135112	NCOA7
10135	NAMPT
85463	ZC3H12C
7378	UPP1
7379	UPK2
6238	RRBP1
80321	CEP70
4967	OGDH
92399	MRRF
322	APBB1
379025	PSMA3-AS1
64983	MRPL32
222171	PRR15
115572	TENT5B
79152	FA2H
3710	ITPR3
3430	IFI35
84957	RELT
150864	FAM117B
9406	ZRANB2
200172	SLFNL1
81788	NUAK2
5216	PFN1
8407	TAGLN2
151556	GPR155
80143	SIKE1
9586	CREB5
9747	TCAF1
10528	NOP56
220323	OAF
144363	ETFRF1
10795	ZNF268
5817	PVR
6827	SUPT4H1
89874	SLC25A21
6390	SDHB
4783	NFIL3
6876	TAGLN
51375	SNX7
9536	PTGES
288	ANK3
55008	HERC6
55285	RBM41
1632	ECI1
407006	MIR221
22841	RAB11FIP2
1070	CETN3
23443	SLC35A3
6820	SULT2B1
4281	MID1
6461	SHB
220906	WAC-AS1
53838	C11orf24
84274	COQ5
8087	FXR1
81611	ANP32E
11168	PSIP1
148304	C1orf74
7102	TSPAN7
2149	F2R
2077	ERF
10598	AHSA1
3141	HLCS
4511	TRNC
9491	PSMF1
160857	CCDC122
8372	HYAL3
148022	TICAM1
1072	CFL1
166793	ZBTB49
51340	CRNKL1
5031	P2RY6
5728	PTEN
91137	SLC25A46
81706	PPP1R14C
254048	UBN2
23093	TTLL5
2491	CENPI
23624	CBLC
9647	PPM1F
79830	ZMYM1
2707	GJB3
311	ANXA11
64121	RRAGC
54832	VPS13C
79623	GALNT14
11215	AKAP11
81553	CYRIA
153222	CREBRF
126299	ZNF428
22891	ZNF365
79007	DBNDD1
388	RHOB
27350	APOBEC3C
119032	BORCS7
7174	TPP2
4828	NMB
221416	LINC03040
79800	CARF
27348	TOR1B
100131378	C11orf91
55968	NSFL1C
100506311	HOTAIRM1
3980	LIG3
3959	LGALS3BP
5802	PTPRS
79966	SCD5
6372	CXCL6
79085	SLC25A23
81537	SGPP1
9724	UTP14C
100506730	LOC100506730
6715	SRD5A1
10565	ARFGEF1
10133	OPTN
9853	RUSC2
80339	PNPLA3
137964	GPAT4
231	AKR1B1
401494	HACD4
24140	FTSJ1
11118	BTN3A2
3659	IRF1
93185	IGSF8
1824	DSC2
57529	RTL9
11140	CDC37
58490	RPRD1B
201158	TVP23C
139322	APOOL
27106	ARRDC2
22993	HMGXB3
1810	DR1
2936	GSR
374	AREG
56683	CFAP298
23015	GOLGA8A
5634	PRPS2
51247	PAIP2
80157	CWH43
347344	ZNF81
23355	VPS8
10797	MTHFD2
56925	LXN
10985	GCN1
5708	PSMD2
2354	FOSB
1979	EIF4EBP2
100133941	CD24
151613	TTC14
498	ATP5F1A
10162	LPCAT3
100507053	LOC100507053
51654	CDK5RAP1
4925	NUCB2
117178	SSX2IP
5875	RABGGTA
100616345	MIR4426
79650	USB1
4237	MFAP2
8685	MARCO
9636	ISG15
54664	TMEM106B
8821	INPP4B
22928	SEPHS2
60312	AFAP1
10963	STIP1
11343	MGLL
2568	GABRP
2806	GOT2
3667	IRS1
115752	DIS3L
29943	PADI1
81559	TRIM11
9785	DHX38
100288198	HMGN3-AS1
80380	PDCD1LG2
9683	N4BP1
873	CBR1
10544	PROCR
2878	GPX3
23294	ANKS1A
2802	GOLGA3
348094	ANKDD1A
348327	ZNF530
94101	ORMDL1
8624	PSMG1
653308	ASAH2B
7597	ZBTB25
5245	PHB1
210	ALAD
8030	CCDC6
54505	DHX29
653464	SRGAP2C
1717	DHCR7
1615	DARS1
1856	DVL2
5768	QSOX1
389792	IER5L
54477	PLEKHA5
1062	CENPE
8795	TNFRSF10B
130340	AP1S3
5683	PSMA2
26503	SLC17A5
5251	PHEX
9828	ARHGEF17
9885	OSBPL2
55746	NUP133
124583	CANT1
91107	TRIM47
5202	PFDN2
7322	UBE2D2
6041	RNASEL
283624	LINC00641
56949	XAB2
2764	GMFB
1628	DBP
51588	PIAS4
9122	SLC16A4
1159	CKMT1B
10948	STARD3
11261	CHP1
221143	EEF1AKMT1
619279	ZNF704
23276	KLHL18
64753	CCDC136
9901	SRGAP3
285954	INHBA-AS1
11012	KLK11
8411	EEA1
3178	HNRNPA1
10023	FRAT1
4355	MPP2
894	CCND2
256987	SERINC5
84665	MYPN
101929780	NBPF25P
89849	ATG16L2
55924	INKA2
22870	PPP6R1
220992	ZNF485
51081	MRPS7
10746	MAP3K2
100507246	SNHG16
51155	JPT1
84775	ZNF607
54165	DCUN1D1
427	ASAH1
10390	CEPT1
133746	JMY
360023	ZBTB41
283106	CSNK2A3
54953	ODR4
51499	TRIAP1
1398	CRK
79666	PLEKHF2
5825	ABCD3
79958	DENND1C
10411	RAPGEF3
90865	IL33
55347	ABHD10
2026	ENO2
51193	ZNF639
27198	HCAR1
7138	TNNT1
51564	HDAC7
7594	ZNF43
9050	PSTPIP2
8568	RRP1
84146	ZNF644
90333	ZNF468
7076	TIMP1
6565	SLC15A2
389	RHOC
9266	CYTH2
2193	FARSA
56892	TCIM
56987	BBX
7411	VBP1
55379	LRRC59
254170	FBXO33
22835	ZFP30
27244	SESN1
3487	IGFBP4
3778	KCNMA1
98	ACYP2
55763	EXOC1
55664	CDC37L1
79717	PPCS
9411	ARHGAP29
80078	LCAL1
55832	CAND1
79789	CLMN
130507	UBR3
1981	EIF4G1
56204	ATOSA
7486	WRN
115106	HAUS1
4522	MTHFD1
54996	MTARC2
9780	PIEZO1
140469	MYO3B
1629	DBT
9779	TBC1D5
145567	TTC7B
54749	EPDR1
9618	TRAF4
4904	YBX1
148046	CIRBP-AS1
7709	ZBTB17
80351	TNKS2
24142	NAA80
63893	UBE2O
90441	ZNF622
51715	RAB23
200844	CFAP20DC
5664	PSEN2
221749	PXDC1
84617	TUBB6
1874	E2F4
5338	PLD2
54625	PARP14
3326	HSP90AB1
150946	GAREM2
4322	MMP13
92249	LINC01278
3965	LGALS9
220074	LRTOMT
79718	TBL1XR1
408	ARRB1
9975	NR1D2
84164	ASCC2
5720	PSME1
5479	PPIB
6597	SMARCA4
79986	ZNF702P
27232	GNMT
5713	PSMD7
84172	POLR1B
716	C1S
57696	DDX55
122553	TRAPPC6B
144348	ZNF664
83940	TATDN1
2908	NR3C1
57477	SHROOM4
51321	AMZ2
166824	RASSF6
23223	RRP12
643246	MAP1LC3B2
8321	FZD1
11182	SLC2A6
6103	RPGR
637	BID
80273	GRPEL1
6548	SLC9A1
26046	LTN1
81894	SLC25A28
8683	SRSF9
5270	SERPINE2
2079	ERH
5686	PSMA5
203259	FAM219A
57216	VANGL2
25973	PARS2
90	ACVR1
4839	NOP2
3995	FADS3
220213	OTUD1
203	AK1
23623	RUSC1
4775	NFATC3
10476	ATP5PD
138199	CARNMT1
7064	THOP1
6304	SATB1
255520	ELMOD2
146909	KIF18B
101928238	ZNF426-DT
8878	SQSTM1
114881	OSBPL7
506	ATP5F1B
23328	SASH1
6670	SP3
10045	SH2D3A
23164	MPRIP
3749	KCNC4
9328	GTF3C5
375743	PTAR1
8111	GPR68
221711	SYCP2L
5576	PRKAR2A
55884	WSB2
246175	CNOT6L
10574	CCT7
8615	USO1
64689	GORASP1
79784	MYH14
51160	VPS28
399473	SPRED3
2023	ENO1
4211	MEIS1
2710	GK
10058	ABCB6
11037	STON1
972	CD74
56252	YLPM1
100499405	LINC00987
5271	SERPINB8
6738	RO60
57396	CLK4
29922	NME7
81572	PDRG1
3344	FOXN2
23762	OSBP2
771	CA12
3868	KRT16
1798	DPAGT1
6788	STK3
3489	IGFBP6
7532	YWHAG
2218	FKTN
4610	MYCL
9653	HS2ST1
822	CAPG
5604	MAP2K1
157285	PRAG1
2263	FGFR2
5127	CDK16
10652	YKT6
1200	TPP1
705	BYSL
6472	SHMT2
401541	CENPP
23136	EPB41L3
3399	ID3
472	ATM
4860	PNP
125170	MIEF2
56983	POGLUT1
25836	NIPBL
11329	STK38
11346	SYNPO
387263	C6orf120
56886	UGGT1
441172	NHSL1-AS1
9040	UBE2M
8498	RANBP3
11151	CORO1A
85457	CIPC
8662	EIF3B
3909	LAMA3
7718	ZNF165
8890	EIF2B4
81563	C1orf21
127933	UHMK1
29893	PSMC3IP
28985	MCTS1
126375	ZNF792
220042	DDIAS
79774	GRTP1
131076	MIX23
10525	HYOU1
5903	RANBP2
2171	FABP5
3182	HNRNPAB
4173	MCM4
2749	GLUD1P3
60592	SCOC
647979	NORAD
10270	AKAP8
5925	RB1
5332	PLCB4
57493	HEG1
6945	MLX
253832	ZDHHC20
348110	ARPIN
55294	FBXW7
3692	EIF6
687	KLF9
51236	HGH1
101927686	LINC02541
51287	COA4
64841	GNPNAT1
23515	MORC3
347902	AMIGO2
2671	GFER
55103	RALGPS2
100507127	LINC00707
50484	RRM2B
23597	ACOT9
51115	RMDN1
11174	ADAMTS6
7048	TGFBR2
154141	MBOAT1
84941	HSH2D
2012	EMP1
389136	VGLL3
221491	SMIM29
64764	CREB3L2
79607	FAM118B
54149	C21orf91
9364	RAB28
5930	RBBP6
80173	IFT74
54867	TMEM214
1781	DYNC1I2
157381	LINC00964
23705	CADM1
55500	ETNK1
83442	SH3BGRL3
7317	UBA1
23231	SEL1L3
79956	ERMP1
728323	LINC01881
5756	TWF1
114908	TMEM123
93627	TBCK
201895	SMIM14
6785	ELOVL4
29899	GPSM2
2631	NIPSNAP2
9702	CEP57
10424	PGRMC2
6464	SHC1
9654	TTLL4
63970	TP53AIP1
401474	SAMD12
204962	SLC44A5
8412	BCAR3
135293	PM20D2
23321	TRIM2
147968	CAPN12
340719	NANOS1
115207	KCTD12
23101	MCF2L2
4495	MT1G
100130899	NA
63874	ABHD4
254295	PHYHD1
9368	SLC9A3R1
8722	CTSF
26589	MRPL46
58986	PGAP6
143879	KBTBD3
10421	CD2BP2
84449	ZNF333
4615	MYD88
1410	CRYAB
55314	TMEM144
376940	ZC3H6
123016	TTC8
85465	SELENOI
29078	NDUFAF4
144501	KRT80
79665	DHX40
4673	NAP1L1
92595	ZNF764
8607	RUVBL1
3508	IGHMBP2
90019	SYT8
56606	SLC2A9
5563	PRKAA2
101241892	NPTN-IT1
57092	PCNP
54914	FOCAD
2799	GNS
116461	TSEN15
23371	TNS2
222161	DKFZP586I1420
2071	ERCC3
55784	MCTP2
178	AGL
6234	RPS28
3035	HARS1
90799	CEP95
302	ANXA2
54972	TMEM132A
51451	LCMT1
1767	DNAH5
23761	PISD
90317	ZNF616
100505894	TMEM161B-DT
25818	KLK5
1763	DNA2
9262	STK17B
89796	NAV1
54853	WDR55
285521	COX18
9453	GGPS1
100132356	LOC100132356
255812	SDHAP1
57001	SDHAF3
3291	HSD11B2
9439	MED23
8000	PSCA
27343	POLL
26147	PHF19
25937	WWTR1
25788	RAD54B
517	ATP5MC2
1997	ELF1
25847	ANAPC13
4033	IRAG2
2339	FNTA
23558	WBP2
3188	HNRNPH2
378938	MALAT1
140890	SREK1
64855	NIBAN2
55715	DOK4
6675	UAP1
5744	PTHLH
2648	KAT2A
8818	DPM2
790	CAD
79711	IPO4
7136	TNNI2
57447	NDRG2
5208	PFKFB2
134510	UBLCP1
8668	EIF3I
54436	SH3TC1
5210	PFKFB4
9699	RIMS2
55794	DDX28
83715	ESPN
80005	DOCK5
79828	METTL8
51277	DNAJC27
2976	GTF3C2
257396	MOCS2-DT
7273	TTN
4698	NDUFA5
55122	AKIRIN2
57556	SEMA6A
8036	SHOC2
63891	RNF123
84134	TOMM40L
5714	PSMD8
3654	IRAK1
53	ACP2
23184	MESD
51474	LIMA1
538	ATP7A
4804	NGFR
785	CACNB4
658	BMPR1B
90268	OTULIN
79873	NUDT18
27122	DKK3
3652	IPP
84747	UNC119B
6383	SDC2
830	CAPZA2
8605	PLA2G4C
5880	RAC2
25822	DNAJB5
28970	C11orf54
7733	ZNF180
10090	UST
9764	KIAA0513
143888	POGLUT3
7978	MTERF1
283635	FAM177A1
4659	PPP1R12A
57460	PPM1H
79039	DDX54
23522	KAT6B
54460	MRPS21
7351	UCP2
3059	HCLS1
6301	SARS1
9468	PCYT1B
64919	BCL11B
10072	DPP3
124751	KRBA2
80775	TMEM177
11146	GLMN
84986	ARHGAP19
284613	CYB561D1
4311	MME
55846	ITFG2
65084	TMEM135
5546	PRCC
634	CEACAM1
4257	MGST1
3312	HSPA8
7832	BTG2
22847	ZNF507
132660	LIN54
10969	EBNA1BP2
285550	FAM200B
1613	DAPK3
57623	ZFAT
28956	LAMTOR2
166968	MIER3
64116	SLC39A8
89894	TMEM116
9399	STOML1
113277	TMEM106A
2332	FMR1
4897	NRCAM
79629	OCEL1
3241	HPCAL1
942	CD86
23191	CYFIP1
60	ACTB
64838	FNDC4
1657	DMXL1
94122	SYTL5
889	KRIT1
201501	ZBTB7C
6856	SYPL1
2057	EPOR
4519	CYTB
84140	FAM161A
5917	RARS1
9712	USP6NL
5547	PRCP
5450	POU2AF1
4646	MYO6
1540	CYLD
144983	HNRNPA1L2
23318	TUT4
85371	KIAA1656
1537	CYC1
57703	CWC22
25961	NUDT13
7355	SLC35A2
10051	SMC4
29115	SAP30BP
1994	ELAVL1
23272	TASOR
135114	HINT3
25939	SAMHD1
283267	LINC00294
84300	UQCC2
57533	TBC1D14
84771	DDX11L2
29789	OLA1
81876	RAB1B
2036	EPB41L1
148103	ZNF599
55851	PSENEN
390	RND3
3074	HEXB
10999	SLC27A4
25994	HIGD1A
55137	FIGN
2717	GLA
1785	DNM2
80184	CEP290
221393	ADGRF4
23253	ANKRD12
5315	PKM
6672	SP100
58155	PTBP2
10208	USPL1
64837	KLC2
11267	SNF8
10142	AKAP9
51063	CALHM2
90507	SCRN2
727957	MROH1
85025	TMEM60
